clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
End Zone - Clip 032.mp4,10673,,,DEFENSE,EDGE,OLB (up),0.039,False,False,0.334,Average,,,Average
End Zone - Clip 032.mp4,10689,,,DEFENSE,EDGE,DE (down),0.025,False,True,1.268,Developmental,,,Below Average
End Zone - Clip 032.mp4,10703,,,DEFENSE,DL,5-tech,0.013,True,True,0.234,Above Average,,,Above Average
End Zone - Clip 033.mp4,11215,,,DEFENSE,LB,MIKE (middle),0.045,True,False,0.100,Elite,,,Elite
End Zone - Clip 033.mp4,11244,,,DEFENSE,CB,Deep,0.217,False,False,0.334,Above Average,,0.050,Above Average
End Zone - Clip 033.mp4,11229,,,DEFENSE,DL,3-tech,0.013,True,True,0.133,Elite,,,Elite
End Zone - Clip 034.mp4,11481,,,DEFENSE,CB,Deep,0.247,False,False,0.067,Elite,,0.026,Elite
End Zone - Clip 034.mp4,11491,,,DEFENSE,LB,WILL (weak),0.032,True,False,0.067,Elite,,,Elite
End Zone - Clip 034.mp4,11520,,,DEFENSE,LB,SAM (strong),0.059,True,False,0.067,Elite,,,Elite
End Zone - Clip 034.mp4,11538,,,DEFENSE,DL,5-tech,0.020,True,True,,,,,Average
End Zone - Clip 035.mp4,12090,,,DEFENSE,S,Free Safety (centerfield),0.372,True,False,0.100,Elite,,0.033,Elite
End Zone - Clip 035.mp4,12265,,,DEFENSE,LB,WILL (weak),0.048,True,False,0.033,Elite,,,Elite
End Zone - Clip 035.mp4,12323,,,DEFENSE,SLOT,Nickel/Slot,0.107,False,False,0.067,Elite,,0.087,Elite
End Zone - Clip 035.mp4,12332,,,DEFENSE,LB,SAM (strong),0.134,True,False,0.033,Elite,,,Elite
End Zone - Clip 035.mp4,12339,,,DEFENSE,LB,WILL (weak),0.116,True,False,0.100,Elite,,,Elite
End Zone - Clip 036.mp4,12520,,,DEFENSE,LB,WILL (weak),0.112,True,False,1.268,Developmental,,,Below Average
End Zone - Clip 036.mp4,12580,,,DEFENSE,S,Deep half,0.274,False,False,0.033,Elite,,0.014,Elite
End Zone - Clip 036.mp4,12582,,,DEFENSE,SLOT,Nickel/Slot,0.114,False,False,0.100,Elite,,0.012,Elite
End Zone - Clip 036.mp4,12592,,,DEFENSE,LB,MIKE (middle),0.090,True,False,0.334,Above Average,,,Above Average
End Zone - Clip 036.mp4,12621,,,DEFENSE,S,Strong Safety,0.206,True,False,0.267,Above Average,,0.025,Above Average
End Zone - Clip 036.mp4,12661,,,DEFENSE,LB,WILL (weak),0.101,True,False,0.167,Elite,,,Elite
End Zone - Clip 036.mp4,12671,,,DEFENSE,LB,WILL (weak),0.096,True,False,,,,,Average
End Zone - Clip 036.mp4,12672,,,DEFENSE,LB,WILL (weak),0.110,True,False,,,,,Average
End Zone - Clip 037.mp4,12949,,,DEFENSE,LB,WILL (weak),0.067,True,False,0.100,Elite,,,Elite
End Zone - Clip 037.mp4,12946,,,DEFENSE,LB,MIKE (middle),0.051,True,False,0.334,Above Average,,,Above Average
End Zone - Clip 037.mp4,12999,,,DEFENSE,DL,3-tech,0.024,True,True,0.200,Above Average,0.011,,Above Average
End Zone - Clip 037.mp4,12998,,,DEFENSE,S,Deep half,0.281,False,False,0.734,Developmental,,0.020,Below Average
End Zone - Clip 037.mp4,13000,,,DEFENSE,LB,WILL (weak),0.089,True,False,0.968,Developmental,,,Below Average
End Zone - Clip 037.mp4,13006,,,DEFENSE,LB,SAM (strong),0.044,True,False,0.033,Elite,,,Elite
End Zone - Clip 037.mp4,13019,,,DEFENSE,DL,0-tech (Nose),0.018,True,True,0.167,Elite,0.003,,Elite
End Zone - Clip 037.mp4,13027,,,DEFENSE,EDGE,DE (down),0.013,False,True,0.400,Below Average,,,Below Average
End Zone - Clip 037.mp4,13065,,,DEFENSE,DL,1-tech,0.026,True,True,0.067,Elite,,,Elite
End Zone - Clip 038.mp4,13510,,,DEFENSE,LB,WILL (weak),0.090,True,False,0.033,Elite,,,Elite
