clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
End Zone - Clip 037.mp4,16192,,,DEFENSE,DL,5-tech,0.131,True,False,0.200,Above Average,,,Above Average
End Zone - Clip 037.mp4,16226,,,DEFENSE,EDGE,DE (down),0.055,False,False,0.033,Elite,,,Elite
End Zone - Clip 037.mp4,16234,,,DEFENSE,DL,1-tech,0.075,True,False,0.033,Elite,,,Elite
End Zone - Clip 037.mp4,16313,,,DEFENSE,DL,0-tech (Nose),0.110,True,False,0.033,Elite,,,Elite
End Zone - Clip 037.mp4,16324,,,DEFENSE,DL,3-tech,0.127,True,False,0.100,Elite,,,Elite
End Zone - Clip 038.mp4,16403,,,DEFENSE,LB,SAM (strong),0.095,True,False,0.067,Elite,,,Elite
End Zone - Clip 038.mp4,16404,,,DEFENSE,LB,WILL (weak),0.039,True,False,0.033,Elite,,,Elite
End Zone - Clip 038.mp4,16405,,,DEFENSE,LB,MIKE (middle),0.089,True,False,0.033,Elite,,,Elite
End Zone - Clip 038.mp4,16432,,,DEFENSE,EDGE,DE (down),0.024,False,True,0.033,Elite,,,Elite
End Zone - Clip 038.mp4,16455,,,DEFENSE,CB,Press,0.058,False,False,0.067,Elite,,0.075,Elite
End Zone - Clip 038.mp4,16498,,,DEFENSE,EDGE,OLB (up),0.032,False,False,0.033,Elite,0.007,,Elite
End Zone - Clip 039.mp4,16948,,,DEFENSE,EDGE,DE (down),0.024,False,True,0.133,Elite,,,Elite
End Zone - Clip 039.mp4,16950,16,,DEFENSE,EDGE,DE (down),0.062,False,False,0.100,Elite,,,Elite
End Zone - Clip 039.mp4,16952,,,DEFENSE,DL,0-tech (Nose),0.009,True,True,0.067,Elite,,,Elite
End Zone - Clip 039.mp4,17005,,,DEFENSE,LB,WILL (weak),0.046,True,False,0.067,Elite,,,Elite
End Zone - Clip 041.mp4,17788,,,DEFENSE,EDGE,DE (down),0.011,True,True,0.133,Elite,0.004,,Elite
End Zone - Clip 041.mp4,17631,,,DEFENSE,EDGE,OLB (up),0.044,False,False,0.167,Elite,,,Elite
End Zone - Clip 041.mp4,17783,,,DEFENSE,DL,3-tech,0.021,True,True,0.267,Above Average,0.015,,Above Average
End Zone - Clip 041.mp4,17793,,,DEFENSE,SLOT,Nickel/Slot,0.132,False,False,0.267,Above Average,,0.005,Above Average
