clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
End Zone - Clip 022.mp4,7939,,,DEFENSE,LB,WILL (weak),0.054,True,False,0.234,Elite,,,Elite
End Zone - Clip 022.mp4,8132,,,DEFENSE,S,Strong Safety,0.212,True,False,1.201,Developmental,,0.001,Below Average
End Zone - Clip 022.mp4,8133,,,DEFENSE,EDGE,DE (down),0.029,True,True,0.133,Elite,,,Elite
End Zone - Clip 022.mp4,8136,,,DEFENSE,EDGE,DE (down),0.023,True,True,0.234,Above Average,,,Above Average
End Zone - Clip 022.mp4,8140,,,DEFENSE,EDGE,DE (down),0.025,False,True,0.133,Elite,,,Elite
End Zone - Clip 022.mp4,8169,,,DEFENSE,LB,MIKE (middle),0.037,True,False,0.100,Elite,,,Elite
End Zone - Clip 023.mp4,8374,,,DEFENSE,EDGE,OLB (up),0.032,True,False,0.067,Elite,,,Elite
End Zone - Clip 023.mp4,8377,,,DEFENSE,UNKNOWN,,0.191,True,False,0.734,Developmental,,,Below Average
End Zone - Clip 023.mp4,8388,,,DEFENSE,LB,MIKE (middle),0.042,True,False,0.500,Below Average,,,Below Average
End Zone - Clip 023.mp4,8390,,,DEFENSE,DL,1-tech,0.026,True,True,1.268,Developmental,,,Below Average
End Zone - Clip 023.mp4,8394,,,DEFENSE,EDGE,DE (down),0.012,False,True,1.234,Developmental,0.017,,Below Average
End Zone - Clip 023.mp4,8398,,,DEFENSE,EDGE,DE (down),0.018,False,True,,,,,Average
End Zone - Clip 024.mp4,8390,,,DEFENSE,DL,1-tech,0.019,True,True,0.367,Average,,,Average
End Zone - Clip 024.mp4,8441,,,DEFENSE,UNKNOWN,,0.180,True,False,0.067,Elite,,,Elite
End Zone - Clip 024.mp4,8470,,,DEFENSE,EDGE,DE (down),0.027,True,True,1.334,Developmental,,,Below Average
End Zone - Clip 024.mp4,8488,,,DEFENSE,EDGE,DE (down),0.019,True,True,,,,,Average
End Zone - Clip 024.mp4,8490,,,DEFENSE,DL,0-tech (Nose),0.015,True,True,0.033,Elite,,,Elite
End Zone - Clip 024.mp4,8494,,,DEFENSE,EDGE,OLB (up),0.035,True,False,0.200,Above Average,,,Above Average
End Zone - Clip 024.mp4,8501,,,DEFENSE,DL,3-tech,0.014,True,True,0.367,Average,,,Average
End Zone - Clip 025.mp4,8517,,,DEFENSE,SLOT,Nickel/Slot,0.066,False,False,0.067,Elite,,0.056,Elite
End Zone - Clip 025.mp4,8521,,,DEFENSE,DL,3-tech,0.174,True,False,0.100,Elite,,,Elite
End Zone - Clip 025.mp4,8520,,,DEFENSE,DL,0-tech (Nose),0.127,True,False,0.067,Elite,,,Elite
End Zone - Clip 025.mp4,8526,,,DEFENSE,DL,0-tech (Nose),0.168,True,False,0.367,Average,,,Average
End Zone - Clip 025.mp4,8525,,,DEFENSE,DL,5-tech,0.133,True,False,0.033,Elite,,,Elite
End Zone - Clip 025.mp4,8546,,,DEFENSE,DL,5-tech,0.161,True,False,0.067,Elite,,,Elite
End Zone - Clip 025.mp4,8561,,,DEFENSE,EDGE,DE (down),0.161,False,False,0.067,Elite,,,Elite
End Zone - Clip 025.mp4,8581,,,DEFENSE,DL,3-tech,0.174,True,False,0.467,Below Average,,,Below Average
End Zone - Clip 026.mp4,8778,,,DEFENSE,S,Deep half,0.337,True,False,0.300,Above Average,,0.015,Above Average
End Zone - Clip 026.mp4,8810,,,DEFENSE,S,Strong Safety,0.337,True,False,0.701,Developmental,,0.018,Below Average
End Zone - Clip 026.mp4,8842,,,DEFENSE,UNKNOWN,,0.154,True,False,0.100,Elite,,,Elite
End Zone - Clip 026.mp4,8860,,,DEFENSE,CB,Off (5-7 yards),0.124,False,False,0.067,Elite,,0.049,Elite
End Zone - Clip 027.mp4,9082,,,DEFENSE,LB,MIKE (middle),0.085,True,False,0.801,Developmental,,,Below Average
End Zone - Clip 027.mp4,9100,,,DEFENSE,LB,WILL (weak),0.098,True,False,,,,,Average
End Zone - Clip 027.mp4,9123,,,DEFENSE,S,Deep half,0.200,False,False,,,,,Average
End Zone - Clip 027.mp4,9133,,,DEFENSE,SLOT,Nickel/Slot,0.061,False,False,0.133,Elite,,0.015,Elite
End Zone - Clip 027.mp4,9159,,,DEFENSE,CB,Press,0.066,False,False,0.400,Average,,0.066,Average
End Zone - Clip 027.mp4,9172,,,DEFENSE,LB,WILL (weak),0.051,True,False,0.834,Developmental,,,Below Average
End Zone - Clip 027.mp4,9177,,,DEFENSE,EDGE,OLB (up),0.049,True,False,,,,,Average
End Zone - Clip 027.mp4,9181,,,DEFENSE,LB,MIKE (middle),0.058,True,False,0.567,Below Average,,,Below Average
End Zone - Clip 027.mp4,9187,,,DEFENSE,LB,WILL (weak),0.053,True,False,0.167,Elite,,,Elite
End Zone - Clip 027.mp4,9202,,,DEFENSE,EDGE,OLB (up),0.042,False,False,,,,,Average
End Zone - Clip 028.mp4,9389,,,DEFENSE,LB,SAM (strong),0.057,True,False,0.300,Above Average,,,Above Average
End Zone - Clip 028.mp4,9366,,,DEFENSE,CB,Press,0.069,False,False,0.667,Developmental,,0.039,Below Average
End Zone - Clip 028.mp4,9396,,,DEFENSE,CB,Deep,0.185,False,False,0.701,Developmental,,0.016,Below Average
End Zone - Clip 028.mp4,9397,,,DEFENSE,EDGE,OLB (up),0.048,True,False,0.200,Above Average,,,Above Average
End Zone - Clip 028.mp4,9398,,,DEFENSE,SLOT,Nickel/Slot,0.062,False,False,0.367,Average,,0.035,Average
End Zone - Clip 028.mp4,9399,,,DEFENSE,SLOT,Nickel/Slot,0.072,False,False,0.200,Elite,,0.064,Elite
End Zone - Clip 028.mp4,9400,,,DEFENSE,LB,WILL (weak),0.054,True,False,0.234,Elite,,,Elite
End Zone - Clip 028.mp4,9242,,,DEFENSE,LB,MIKE (middle),0.074,True,False,0.234,Elite,,,Elite
End Zone - Clip 028.mp4,9432,,,DEFENSE,LB,MIKE (middle),0.076,True,False,0.701,Developmental,,,Below Average
End Zone - Clip 028.mp4,9431,,,DEFENSE,LB,SAM (strong),0.057,True,False,0.200,Elite,,,Elite
End Zone - Clip 028.mp4,9438,,,DEFENSE,LB,WILL (weak),0.065,True,False,0.300,Above Average,,,Above Average
End Zone - Clip 029.mp4,9679,,,DEFENSE,UNKNOWN,,0.179,True,False,,,,,Average
End Zone - Clip 029.mp4,9556,,,DEFENSE,LB,MIKE (middle),0.046,True,False,2.069,Developmental,,,Below Average
