DN,DIST,PLAY TYPE,RESULT,GN/LS,ODK,YARD LN,HASH,SERIES,OFF STR,OFF FORM,OFF PLAY,PLAY DIR,GAP,DEF STR,DEF FRONT,BLITZ,COVERAGE,KICK YARDS,RET YARDS,PENALTY,2 MIN,TEAM,OPP TEAM,PLAY #,QTR,PASS ZONE,PERSONNEL,MOTION,MOTION DIR,PASSER_Jersey,PASSER_Name,RECEIVER_Jersey,RECEIVER_Name,TACKLER1_Jersey,TACKLER1_Name,TACKLER2_Jersey,TACKLER2_Name,RUSHER_Jersey,RUSHER_Name,KEY PLAYER_Jersey,KEY PLAYER_Name,BACKFIELD,EFF,RETURNER_Jersey,RETURNER_Name,KICKER_Jersey,KICKER_Name,RECOVERED BY_Jersey,RECOVERED BY_Name,INTERCEPTED BY_Jersey,INTERCEPTED BY_Name,OPP RUSHER,OPP PASSER,OPP RECEIVER,OPP TACKLER1,OPP TACKLER2,OPP RETURNER,OPP KICKER,OPP RECOVERED BY,OPP INTERCEPTED BY,PROTECTION,TAG,NOTE,COMMENT,STR CALL,WK CALL,DRILL,STUNT,BALL CARRIER,STR ROUTES,WK ROUTES,TE/SE,ST/WK,OPTION,SCORE,16,FIELD / BOUNDARY,Y/N,DUG BACKFIELD,DUG FORMATION,TOO/AWAY,NEAR/FAR,RUN/PASS,FORMATION STRENGTH,FSL,SHIFT,RUN STRENGTH,PASS ROUTE,PASS CHART,PASS RESULT,SCRAMBLE,TRICK,TITLE,ROUTE,PEN YARDS,POSITIVE,CRITICISM,OFFENSIVE FORMATIONS
3,29,Pass,Incomplete,0,D,-13,M,4,BAL,IOWA BLACK,,L,,,,,,,,,,,,63,2,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,29,Punt Rec,Penalty,,K,-13,M,4,,,,,,,,,,,,,,,,64,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,KO,Return,,K,8,M,,,,,,,,,,,,,,,,,65,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,Run,Penalty,10,O,35,L,5,R,Wyoming brown,,R,,,,,,,,,,,,66,2,,,,,,,,,,,,,8,Jayvyn Gilchrist,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,Pass,Incomplete,0,O,25,L,5,R,FLA. BLUE,,L,,,,,,,,,,,,67,2,,,,,8,Jayvyn Gilchrist,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,Run,Rush,2,O,25,L,5,R,Twins Split,,R,,,,,,,,,,,,68,2,,,,,,,,,,,,,20,Aiden O'Neal,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,Pass,Scramble,3,O,23,R,5,R,WISCONSIN RED,,R,,,,,,,,,,,,69,2,,,,,8,Jayvyn Gilchrist,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,Run,Rush,-1,O,20,R,5,R,WISCONSIN RED,,R,,,,,,,,,,,,70,2,,,,,,,,,,,,,8,Jayvyn Gilchrist,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,Run,Rush,1,D,-21,L,5,R,Twins Split,,L,,,,,,,,,,,,71,2,,,,,,,,,,,,,,,,,,Y,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,Run,Rush,3,D,-22,L,5,R,Twins Split,,L,,,,,,,,,,,,72,2,,,,,,,,,,,,,,,,,,Y,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,Pass,Complete,15,D,-25,L,5,R,TEXAS BROWN,,R,,,,,,,,,,,,73,2,,,,,,,,,,,,,,,,,,N,,,,,,,,,,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,,Timeout,0,D,-40,M,5,BAL,IOWA BLACK,,,,,,,,,,,,,,74,2,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,Pass,Incomplete,0,D,-40,M,5,L,FLA. BLUE,,L,,,,,,,,,,,,75,2,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,Pass,Incomplete,0,D,-40,M,5,R,FLA. BLUE,,R,,,,,,,,,,,,76,2,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,Run,Rush,3,D,-40,M,5,R,WISCONSIN RED,,L,,,,,,,,,,,,77,2,,,,,,,,,,,,,,,,,,Y,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,,Penalty,-5,D,-43,M,5,BAL,DBL TE,,,,,,,,,,,,,,78,2,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
