clip_file,track_id,jersey_number,player_name,roster_position,team,team_name,jersey_color,inferred_position,recognition_latency_sec,recognition_latency_grade,first_step_sec,first_step_grade,post_snap_distance,initial_velocity,sdi_score,sdi_grade
ricky_powers_michigan.mp4,520,,,,michigan,MICHIGAN,,,,,,,0.360,,5072.0,Average
ricky_powers_michigan.mp4,529,,,,michigan,MICHIGAN,,,,,,,0.511,,5102.0,Average
ricky_powers_michigan.mp4,537,,,,michigan,MICHIGAN,,,,,,,0.075,,5014.0,Average
ricky_powers_michigan.mp4,539,,,,michigan,MICHIGAN,,,,,,,0.310,,5061.0,Average
ricky_powers_michigan.mp4,540,,,,michigan,MICHIGAN,,,,,,,0.374,,5074.0,Average
ricky_powers_michigan.mp4,542,,,,michigan,MICHIGAN,,,,,,,0.203,,5040.0,Average
ricky_powers_michigan.mp4,544,,,,michigan,MICHIGAN,,,,,,,0.190,,5038.0,Average
ricky_powers_michigan.mp4,546,,,,michigan,MICHIGAN,,,,,,,0.057,,5011.0,Average
ricky_powers_michigan.mp4,548,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,554,,,,michigan,MICHIGAN,,,,,,,0.481,,5096.0,Average
ricky_powers_michigan.mp4,555,,,,michigan,MICHIGAN,,,,,,,0.231,,5046.0,Average
ricky_powers_michigan.mp4,560,,,,michigan,MICHIGAN,,,,,,,0.097,,5019.0,Average
ricky_powers_michigan.mp4,561,,,,michigan,MICHIGAN,,,,,,,0.045,,5008.0,Average
ricky_powers_michigan.mp4,563,,,,michigan,MICHIGAN,,,,,,,0.012,,5002.0,Average
ricky_powers_michigan.mp4,568,,,,michigan,MICHIGAN,,,,,,,0.163,,5032.0,Average
ricky_powers_michigan.mp4,572,,,,michigan,MICHIGAN,,,,,,,0.003,,5000.0,Average
ricky_powers_michigan.mp4,574,,,,michigan,MICHIGAN,,,,,,,0.033,,5006.0,Average
ricky_powers_michigan.mp4,577,,,,michigan,MICHIGAN,,,,,,,0.223,,5044.0,Average
ricky_powers_michigan.mp4,579,,,,michigan,MICHIGAN,,,,,,,0.062,,5012.0,Average
ricky_powers_michigan.mp4,580,,,,michigan,MICHIGAN,,,,,,,0.124,,5024.0,Average
ricky_powers_michigan.mp4,581,,,,michigan,MICHIGAN,,,,,,,0.032,,5006.0,Average
ricky_powers_michigan.mp4,583,,,,michigan,MICHIGAN,,,,,,,0.019,,5003.0,Average
ricky_powers_michigan.mp4,587,,,,michigan,MICHIGAN,,,,,,,0.084,,5016.0,Average
ricky_powers_michigan.mp4,592,,,,michigan,MICHIGAN,,,,,,,0.027,,5005.0,Average
ricky_powers_michigan.mp4,597,,,,michigan,MICHIGAN,,,,,,,0.021,,5004.0,Average
ricky_powers_michigan.mp4,598,,,,michigan,MICHIGAN,,,,,,,0.258,,5051.0,Average
ricky_powers_michigan.mp4,599,,,,michigan,MICHIGAN,,,,,,,0.665,,5132.0,Average
ricky_powers_michigan.mp4,601,,,,michigan,MICHIGAN,,,,,,,0.184,,5036.0,Average
ricky_powers_michigan.mp4,605,,,,michigan,MICHIGAN,,,,,,,0.213,,5042.0,Average
ricky_powers_michigan.mp4,604,,,,michigan,MICHIGAN,,,,,,,0.033,,5006.0,Average
ricky_powers_michigan.mp4,609,,,,michigan,MICHIGAN,,,,,,,0.119,,5023.0,Average
